,Alpha_3,Country,Surname_Count,Forename_Count
156,NCL,new-caledonia,20406.0,7839.0
157,NER,niger,321125.0,222783.0
158,NFK,norfolk-island,488.0,687.0
159,NGA,nigeria,1518543.0,1042341.0
160,NIC,nicaragua,19984.0,94970.0
161,NIU,niue,379.0,531.0
162,NLD,netherlands,529925.0,134270.0
163,NOR,norway,271387.0,101414.0
164,NPL,nepal,49980.0,275770.0
165,NRU,nauru,650.0,5324.0
166,NZL,new-zealand,110608.0,60698.0
167,OMN,oman,34767.0,31225.0
168,PAK,pakistan,564810.0,698256.0
169,PAN,panama,36188.0,120395.0
170,PCN,pitcairn,,
171,PER,peru,128931.0,298602.0
172,PHL,philippines,766770.0,1681741.0
173,PLW,palau,1160.0,1206.0
174,PNG,papua-new-guinea,272569.0,529613.0
175,POL,poland,408386.0,29918.0
176,PRI,puerto-rico,25215.0,31550.0
177,PRK,north-korea,,
178,PRT,portugal,74805.0,40825.0
179,PRY,paraguay,34493.0,43985.0
180,PSE,"palestine,-state-of",,
181,PYF,french-polynesia,16360.0,9426.0
182,QAT,qatar,154650.0,87657.0
183,REU,réunion,,
184,ROU,romania,153732.0,127624.0
185,RWA,rwanda,17997.0,12847.0
186,SAU,saudi-arabia,170253.0,77115.0
187,SDN,sudan,43521.0,29845.0
188,SEN,senegal,34829.0,93614.0
189,SGP,singapore,138697.0,111984.0
190,SGS,south-georgia-and-the-south-sandwich-islands,,
191,SHN,"saint-helena,-ascension-and-tristan-da-cunha",,
192,SJM,svalbard-and-jan-mayen,,
193,SLB,solomon-islands,56778.0,28092.0
194,SLE,sierra-leone,5009.0,4626.0
195,SLV,el-salvador,21880.0,43650.0
196,SMR,san-marino,3136.0,2033.0
197,SOM,somalia,31358.0,20168.0
198,SPM,saint-pierre-and-miquelon,1115.0,941.0
199,SRB,serbia,79901.0,25905.0
200,SSD,south-sudan,10044.0,9630.0
201,STP,sao-tome-and-principe,,
202,SUR,suriname,21330.0,14815.0
203,SVK,slovakia,236104.0,27793.0
204,SVN,slovenia,43412.0,11787.0
205,SWE,sweden,850341.0,201704.0
206,SXM,sint-maarten-(dutch-part),,
207,SYC,seychelles,4547.0,5432.0
208,SYR,syria,54406.0,22949.0
209,TCA,turks-and-caicos-islands,2148.0,5605.0
210,TCD,chad,37502.0,49073.0
211,TGO,togo,29889.0,24240.0
212,THA,thailand,2435104.0,1067011.0
213,TJK,tajikistan,36868.0,21549.0
214,TKL,tokelau,,
215,TKM,turkmenistan,31048.0,10783.0
216,TLS,timor-leste,,
217,TON,tonga,2074.0,2724.0
218,TTO,trinidad-and-tobago,92864.0,104902.0
219,TUN,tunisia,59404.0,34826.0
220,TUV,tuvalu,713.0,742.0
221,TWN,taiwan,121800.0,252525.0
222,TZA,tanzania,203809.0,155624.0
223,UGA,uganda,629951.0,346435.0
224,UKR,ukraine,707685.0,70414.0
225,UMI,united-states-minor-outlying-islands,,
226,URY,uruguay,60662.0,38448.0
227,USA,united-states,5095698.0,2754772.0
228,UZB,uzbekistan,146286.0,46240.0
229,VAT,holy-see-(vatican-city-state),,
230,VCT,saint-vincent-and-the-grenadines,7293.0,25219.0
231,VEN,venezuela,173776.0,694894.0
232,VGB,"virgin-islands,-british",,
233,VIR,"virgin-islands,-u.s.",,
234,VNM,vietnam,24113.0,31538.0
235,VUT,vanuatu,6569.0,5581.0
236,WLF,wallis-and-futuna,961.0,850.0
237,WSM,samoa,2747.0,3527.0
238,YEM,yemen,144527.0,40756.0
239,ZAF,south-africa,821426.0,1562537.0
240,ZMB,zambia,100709.0,181339.0
241,ZWE,zimbabwe,251448.0,320814.0
242,BIH,bosnia,38298.0,20429.0
243,RUS,russia,1424981.0,578665.0
244,TUR,turkey,404669.0,223001.0
245,CIV,ivory-coast,180823.0,444260.0
246,GBR,england,1227447.0,522241.0
247,COD,dr-congo,608760.0,405409.0
248,SWZ,swaziland,5302.0,8625.0
